Soil Moisture,Temperature,Humidity,Time,Status
54,22,70,21,ON
12,20,40,104,OFF
34,26,35,62,ON
7,44,44,93,OFF
50,38,23,92,OFF
4,26,52,6,ON
15,34,58,82,ON
45,30,43,85,ON
47,4,42,2,OFF
19,41,22,0,ON
63,44,65,75,ON
88,34,41,71,ON
39,20,70,82,ON
65,43,44,93,OFF
50,27,50,4,ON
39,22,48,80,ON
18,33,44,74,ON
66,43,35,64,ON
68,25,59,3,ON
20,36,53,74,ON
40,17,35,70,ON
2,34,64,101,OFF
22,35,32,109,OFF
1,19,70,56,ON
5,23,27,4,ON
10,28,30,75,ON
25,13,66,50,ON
20,45,61,83,ON
40,29,39,98,OFF
26,13,70,71,ON
71,6,59,88,OFF
37,21,24,22,ON
76,12,47,51,OFF
44,24,45,82,ON
24,8,47,38,OFF
70,6,63,90,OFF
32,23,28,84,OFF
44,24,39,77,ON
4,45,49,32,ON
63,40,48,89,ON
49,29,55,4,ON
26,32,70,73,ON
58,32,38,91,OFF
45,0,69,87,OFF
37,7,32,76,ON
16,44,57,93,OFF
75,2,31,96,OFF
82,16,62,33,OFF
72,28,21,92,OFF
53,1,51,32,OFF
13,24,48,17,OFF
41,18,34,86,ON
53,2,30,64,OFF
76,14,48,58,OFF
9,36,37,96,OFF
66,1,56,106,OFF
12,16,25,94,OFF
29,10,67,50,ON
37,34,57,2,ON
8,28,67,10,ON
55,1,68,37,ON
9,1,32,101,OFF
41,27,23,63,ON
31,8,33,43,ON
80,38,52,12,OFF
7,27,59,107,OFF
13,4,41,23,ON
42,18,36,39,ON
72,21,26,63,OFF
21,33,21,5,ON
14,4,51,28,ON
16,19,51,40,ON
11,9,26,104,OFF
7,17,52,17,OFF
56,3,64,90,ON
42,19,55,11,ON
78,41,70,62,ON
16,37,48,48,ON
87,14,21,86,OFF
22,22,55,94,OFF
77,41,47,89,ON
45,31,65,15,ON
84,39,50,21,OFF
12,3,43,34,ON
17,40,57,5,ON
12,35,34,1,ON
6,40,44,92,OFF
21,4,48,39,ON
71,41,49,11,OFF
17,27,40,15,ON
67,24,31,79,OFF
34,24,63,84,OFF
68,13,57,105,OFF
52,3,35,0,OFF
80,18,24,59,OFF
11,11,29,7,ON
63,27,26,22,OFF
88,43,58,86,ON
79,21,58,71,OFF
2,37,30,28,ON
49,33,61,72,ON
64,27,58,94,OFF
71,36,25,68,ON
51,27,66,89,ON
67,26,60,25,OFF
12,0,63,2,OFF
67,3,44,95,OFF
54,31,49,88,ON
49,33,31,86,ON
24,29,34,36,ON
27,18,38,21,ON
50,35,20,18,ON
51,26,32,4,ON
38,26,34,16,ON
23,45,50,106,OFF
27,29,60,88,ON
72,39,21,87,ON
89,19,38,18,OFF
36,28,55,36,ON
4,5,45,63,ON
21,37,48,32,ON
8,37,58,103,OFF
5,27,28,22,ON
1,10,56,67,ON
2,40,43,36,ON
63,35,30,106,OFF
17,39,38,18,ON
33,19,26,103,OFF
21,6,67,74,ON
84,29,36,41,ON
35,28,23,73,ON
81,4,35,21,OFF
44,41,22,6,ON
53,6,68,73,ON
25,18,66,21,ON
22,28,38,40,ON
57,44,44,25,ON
15,25,67,57,ON
33,23,25,93,OFF
20,25,54,28,OFF
52,13,62,105,OFF
47,2,56,80,OFF
63,40,63,25,OFF
48,11,21,69,OFF
15,34,31,57,ON
87,37,37,52,ON
30,27,70,28,ON
89,31,69,3,OFF
28,1,42,71,OFF
87,1,52,32,OFF
